epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1454.54,2.91987,5.05019,3.33079,0.39428,0.01958,0.01543,0.00709,2.18279,3.51102,2.39981,0.00333288,0.00333288,0.00333288
2,2682.53,1.99328,3.65966,2.16292,0.2714,0.11094,0.07678,0.04353,1.77718,2.78357,1.91472,0.00600626,0.00600626,0.00600626
3,3888.15,1.81029,3.07616,1.92942,0.30629,0.16351,0.12881,0.07757,1.63444,2.47021,1.74797,0.00801964,0.00801964,0.00801964
4,5070.27,1.71215,2.75832,1.80332,0.32952,0.20074,0.1715,0.1059,1.55278,2.27126,1.65112,0.00703,0.00703,0.00703
5,6296.41,1.62753,2.52637,1.71475,0.34571,0.23006,0.20228,0.12787,1.50136,2.14521,1.59678,0.00604,0.00604,0.00604
6,7663.23,1.57166,2.37275,1.65733,0.35511,0.24283,0.22406,0.14302,1.47146,2.07179,1.56421,0.00505,0.00505,0.00505
7,9005.83,1.52984,2.24859,1.61109,0.36592,0.2578,0.23693,0.15267,1.45249,2.02351,1.54251,0.00406,0.00406,0.00406
8,10153.2,1.49086,2.14638,1.57543,0.39277,0.26813,0.24725,0.15991,1.43804,1.98909,1.52667,0.00307,0.00307,0.00307
9,11299.4,1.46039,2.05897,1.54559,0.40216,0.27407,0.25514,0.16575,1.42619,1.96128,1.51349,0.00208,0.00208,0.00208
10,12448.4,1.42958,1.98114,1.51948,0.41658,0.27788,0.263,0.17176,1.41579,1.93595,1.50165,0.00109,0.00109,0.00109
