epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.866,3.00617,5.04085,3.81956,0.00362,0.33786,0.0084,0.00238,2.73719,3.84587,3.34396,0.000138866,0.000138866,0.000138866
2,467.017,2.439,4.16135,2.93679,0.67526,0.03637,0.02949,0.01098,2.22912,3.5843,2.74929,0.000250357,0.000250357,0.000250357
3,652.894,2.09781,3.53721,2.55213,0.30851,0.08028,0.07395,0.03182,2.03115,3.14563,2.47387,0.000334326,0.000334326,0.000334326
4,837.387,1.94072,3.21273,2.37489,0.29615,0.16939,0.11835,0.05716,1.89828,2.89275,2.34016,0.000293151,0.000293151,0.000293151
5,1024.28,1.83936,3.00021,2.26658,0.343,0.19848,0.14682,0.07377,1.82195,2.70604,2.25006,0.000251868,0.000251868,0.000251868
6,1215.29,1.76941,2.83504,2.18596,0.27632,0.24281,0.18261,0.09551,1.77276,2.56845,2.17935,0.000210585,0.000210585,0.000210585
7,1406.3,1.70992,2.72098,2.1225,0.36291,0.25866,0.21378,0.11612,1.7082,2.46888,2.11499,0.000169302,0.000169302,0.000169302
8,1597.52,1.66629,2.6258,2.07634,0.34513,0.28825,0.24096,0.1349,1.66442,2.35274,2.07267,0.000128019,0.000128019,0.000128019
9,1785.73,1.63647,2.55301,2.04318,0.38215,0.28884,0.26452,0.15051,1.63566,2.30937,2.0366,8.6736e-05,8.6736e-05,8.6736e-05
10,1969.54,1.60796,2.49228,2.01648,0.35886,0.29879,0.2776,0.15902,1.6184,2.26445,2.01882,4.5453e-05,4.5453e-05,4.5453e-05
