epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.743,4.23124,4.43974,3.05471,0.13263,0.04286,0.0185,0.00601,3.27832,2.75532,1.88526,0.000237412,0.000237412,0.000237412
2,315.162,3.04806,2.79523,1.77104,0.04283,0.12007,0.04782,0.01807,2.72731,2.31806,1.43534,0.000428347,0.000428347,0.000428347
3,399.549,2.61419,2.39246,1.44128,0.06516,0.15219,0.06273,0.02623,2.52207,2.16609,1.31303,0.000572157,0.000572157,0.000572157
4,477.323,2.37091,2.16046,1.31216,0.2218,0.11157,0.07516,0.03251,2.31557,1.92892,1.23748,0.000501942,0.000501942,0.000501942
5,552.364,2.24084,2.00896,1.24347,0.14213,0.11905,0.08696,0.04021,2.18113,1.82997,1.17501,0.000431256,0.000431256,0.000431256
6,628.26,2.14717,1.91121,1.20066,0.25631,0.13014,0.09368,0.04333,2.1308,1.78579,1.16182,0.00036057,0.00036057,0.00036057
7,706.294,2.09621,1.84751,1.16969,0.25354,0.13191,0.09925,0.04742,2.07912,1.7401,1.12511,0.000289884,0.000289884,0.000289884
8,783.395,2.04911,1.79622,1.15153,0.14873,0.14243,0.10366,0.05039,2.03356,1.67769,1.10894,0.000219198,0.000219198,0.000219198
9,857.268,2.02407,1.75238,1.13639,0.26311,0.14072,0.10746,0.05326,2.02339,1.66427,1.1042,0.000148512,0.000148512,0.000148512
10,933.243,1.99996,1.72969,1.12418,0.26338,0.14699,0.11038,0.05447,2.00178,1.64123,1.09507,7.7826e-05,7.7826e-05,7.7826e-05
